               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.064538,            0.011774,           0.0039596,            0.020758,                   1,            0.022614,           0.0051985,            0.061224,            0.018154,           0.0023914,           0.0041095,           0.0041095,           0.0041095
                 121,            0.076515,            0.016203,           0.0038918,            0.020758,                   1,            0.022614,           0.0051985,            0.061224,            0.018154,           0.0023914,             0.00406,             0.00406,             0.00406
                 122,            0.076707,            0.014015,           0.0029886,            0.020758,                   1,            0.022614,           0.0051985,            0.061224,            0.018154,           0.0023914,           0.0040105,           0.0040105,           0.0040105
                 123,            0.067635,            0.010115,           0.0024427,            0.020758,                   1,            0.022614,           0.0051985,            0.061224,            0.018154,           0.0023914,            0.003961,            0.003961,            0.003961
                 124,            0.076604,            0.016822,           0.0032463,            0.021771,                   1,            0.022786,           0.0056799,            0.060266,            0.018271,           0.0023063,           0.0039115,           0.0039115,           0.0039115
                 125,            0.079769,            0.017519,           0.0032592,            0.021771,                   1,            0.022786,           0.0056799,            0.060266,            0.018271,           0.0023063,            0.003862,            0.003862,            0.003862
                 126,            0.044569,            0.011491,            0.002028,            0.021771,                   1,            0.022786,           0.0056799,            0.060266,            0.018271,           0.0023063,           0.0038125,           0.0038125,           0.0038125
                 127,            0.081177,            0.014804,           0.0034458,            0.021771,                   1,            0.022786,           0.0056799,            0.060266,            0.018271,           0.0023063,            0.003763,            0.003763,            0.003763
                 128,            0.081242,            0.012177,           0.0022539,            0.021771,                   1,            0.022786,           0.0056799,            0.060266,            0.018271,           0.0023063,           0.0037135,           0.0037135,           0.0037135
                 129,            0.093171,            0.014881,           0.0036944,            0.018114,             0.66667,            0.014565,           0.0038408,            0.060978,            0.017894,           0.0021682,            0.003664,            0.003664,            0.003664
                 130,            0.074171,            0.011623,           0.0033186,            0.018114,             0.66667,            0.014565,           0.0038408,            0.060978,            0.017894,           0.0021682,           0.0036145,           0.0036145,           0.0036145
                 131,            0.065028,            0.010614,           0.0023026,            0.018114,             0.66667,            0.014565,           0.0038408,            0.060978,            0.017894,           0.0021682,            0.003565,            0.003565,            0.003565
                 132,            0.070128,            0.010666,            0.002889,            0.018114,             0.66667,            0.014565,           0.0038408,            0.060978,            0.017894,           0.0021682,           0.0035155,           0.0035155,           0.0035155
                 133,            0.064743,            0.017396,            0.002486,            0.018114,             0.66667,            0.014565,           0.0038408,            0.060978,            0.017894,           0.0021682,            0.003466,            0.003466,            0.003466
                 134,            0.064783,             0.01578,           0.0026811,            0.018114,             0.66667,            0.014565,           0.0038408,            0.060978,            0.017894,           0.0021682,           0.0034165,           0.0034165,           0.0034165
                 135,            0.078278,            0.011498,           0.0031778,            0.018583,             0.66667,            0.015704,           0.0037012,            0.061067,            0.017754,           0.0020997,            0.003367,            0.003367,            0.003367
                 136,            0.078538,            0.014167,           0.0038155,            0.018583,             0.66667,            0.015704,           0.0037012,            0.061067,            0.017754,           0.0020997,           0.0033175,           0.0033175,           0.0033175
                 137,            0.085725,            0.011628,           0.0022194,            0.018583,             0.66667,            0.015704,           0.0037012,            0.061067,            0.017754,           0.0020997,            0.003268,            0.003268,            0.003268
                 138,            0.078442,            0.012523,           0.0032514,            0.018583,             0.66667,            0.015704,           0.0037012,            0.061067,            0.017754,           0.0020997,           0.0032185,           0.0032185,           0.0032185
                 139,            0.059866,            0.016888,           0.0035916,            0.018583,             0.66667,            0.015704,           0.0037012,            0.061067,            0.017754,           0.0020997,            0.003169,            0.003169,            0.003169
                 140,            0.089691,             0.01695,           0.0031055,            0.019388,             0.66667,            0.016248,           0.0042631,            0.059802,            0.018112,           0.0021089,           0.0031195,           0.0031195,           0.0031195
                 141,            0.087643,            0.015116,           0.0029179,            0.019388,             0.66667,            0.016248,           0.0042631,            0.059802,            0.018112,           0.0021089,             0.00307,             0.00307,             0.00307
                 142,             0.06717,            0.016793,           0.0022803,            0.019388,             0.66667,            0.016248,           0.0042631,            0.059802,            0.018112,           0.0021089,           0.0030205,           0.0030205,           0.0030205
                 143,            0.081336,            0.013689,           0.0027261,            0.019388,             0.66667,            0.016248,           0.0042631,            0.059802,            0.018112,           0.0021089,            0.002971,            0.002971,            0.002971
                 144,            0.073937,            0.015521,           0.0028773,            0.019388,             0.66667,            0.016248,           0.0042631,            0.059802,            0.018112,           0.0021089,           0.0029215,           0.0029215,           0.0029215
                 145,            0.091228,            0.015744,           0.0037945,            0.011962,             0.33333,           0.0070333,           0.0038658,            0.058802,            0.018324,           0.0020247,            0.002872,            0.002872,            0.002872
                 146,            0.064784,               0.013,           0.0025086,            0.011962,             0.33333,           0.0070333,           0.0038658,            0.058802,            0.018324,           0.0020247,           0.0028225,           0.0028225,           0.0028225
                 147,            0.061336,            0.012736,           0.0025063,            0.011962,             0.33333,           0.0070333,           0.0038658,            0.058802,            0.018324,           0.0020247,            0.002773,            0.002773,            0.002773
                 148,            0.080033,             0.01534,           0.0026486,            0.011962,             0.33333,           0.0070333,           0.0038658,            0.058802,            0.018324,           0.0020247,           0.0027235,           0.0027235,           0.0027235
                 149,            0.082436,            0.011698,           0.0026567,            0.011962,             0.33333,           0.0070333,           0.0038658,            0.058802,            0.018324,           0.0020247,            0.002674,            0.002674,            0.002674
                 150,              0.0829,            0.015825,           0.0031615,            0.011962,             0.33333,           0.0070333,           0.0038658,            0.058802,            0.018324,           0.0020247,           0.0026245,           0.0026245,           0.0026245
                 151,            0.072176,            0.016374,           0.0026684,            0.015618,             0.33333,           0.0079685,           0.0045835,             0.05842,            0.018293,           0.0019561,            0.002575,            0.002575,            0.002575
                 152,            0.071801,            0.018777,           0.0026069,            0.015618,             0.33333,           0.0079685,           0.0045835,             0.05842,            0.018293,           0.0019561,           0.0025255,           0.0025255,           0.0025255
                 153,            0.080951,            0.011679,           0.0046958,            0.015618,             0.33333,           0.0079685,           0.0045835,             0.05842,            0.018293,           0.0019561,            0.002476,            0.002476,            0.002476
                 154,            0.070859,            0.010152,           0.0019201,            0.015618,             0.33333,           0.0079685,           0.0045835,             0.05842,            0.018293,           0.0019561,           0.0024265,           0.0024265,           0.0024265
                 155,            0.073221,            0.011399,           0.0015855,            0.015618,             0.33333,           0.0079685,           0.0045835,             0.05842,            0.018293,           0.0019561,            0.002377,            0.002377,            0.002377
                 156,            0.067744,            0.014831,           0.0020728,             0.03108,             0.66667,            0.022214,           0.0057595,            0.057626,            0.018383,           0.0018904,           0.0023275,           0.0023275,           0.0023275
                 157,            0.063421,            0.013662,           0.0021446,             0.03108,             0.66667,            0.022214,           0.0057595,            0.057626,            0.018383,           0.0018904,            0.002278,            0.002278,            0.002278
                 158,            0.088607,            0.017464,           0.0026859,             0.03108,             0.66667,            0.022214,           0.0057595,            0.057626,            0.018383,           0.0018904,           0.0022285,           0.0022285,           0.0022285
